ID,Species,Owner,Country.of.Origin,Farm.Name,Company,Region,Producer,In.Country.Partner,Harvest.Year,Grading.Date,Owner.1,Variety,Processing.Method,Aroma,Flavor,Aftertaste,Acidity,Body,Balance,Uniformity,Clean.Cup,Sweetness,Total.Cup.Points,Moisture,Color,Certification.Body,altitude_mean_meters
16,Arabica,cqi q coffee sample representative,United States,el águila,coffee quality institute,antioquia,María Leticia Diosa,Almacafé,2014,"March 13th, 2015",CQI Q Coffee Sample Representative,Other,Washed / Wet,8.0,8.5,8.58,8.17,8.17,8.0,10.0,10.0,10.0,87.58,0.0,,Almacafé,2080.0
17,Arabica,grounds for health admin,Indonesia,toarco jaya,,sulawesi,P.T. Toarco Jaya,Specialty Coffee Association,May-August,"May 31st, 2010",Grounds for Health Admin,,,8.33,8.25,7.83,7.75,8.5,8.42,10.0,10.0,10.0,87.42,0.03,,Specialty Coffee Association,1500.0
18,Arabica,ethiopia commodity exchange,Ethiopia,,,yirgacheffe,Green Gold Ethiopia | Phone: 0114342032,Ethiopia Commodity Exchange,2009/2010,"June 16th, 2010",Ethiopia Commodity Exchange,,,8.17,8.33,8.25,8.33,8.42,8.33,9.33,10.0,9.33,87.33,0.05,,Ethiopia Commodity Exchange,
19,Arabica,yunnan coffee exchange,China,echo coffee,yunnan coffee exchange,yunnan,Echo Coffee,Yunnan Coffee Exchange,2015,"April 7th, 2016",Yunnan Coffee Exchange,Catimor,Washed / Wet,8.42,8.25,8.08,8.17,7.92,8.0,10.0,10.0,10.0,87.25,0.1,Green,Yunnan Coffee Exchange,1450.0
20,Arabica,essencecoffee,Ethiopia,drima zede,essence coffee,gedio,LevelUp,Blossom Valley International,2014,"March 25th, 2015",EssenceCoffee,Ethiopian Yirgacheffe,Natural / Dry,8.17,8.17,8.0,8.17,8.08,8.33,10.0,10.0,10.0,87.25,0.0,,Blossom Valley International,1850.0
21,Arabica,cqi q coffee sample representative,United States,el rodeo,coffee quality institute,antioquia,Nicolás Rueda Urrego,Almacafé,2014,"March 13th, 2015",CQI Q Coffee Sample Representative,Other,Washed / Wet,8.0,8.25,8.08,8.5,8.25,8.0,10.0,10.0,10.0,87.25,0.0,,Almacafé,2019.0
22,Arabica,the coffee source inc.,Costa Rica,several,the coffee source inc.,san ramon,SEVERAL,Specialty Coffee Association,2014,"April 2nd, 2014",The Coffee Source Inc.,Caturra,Washed / Wet,8.08,8.25,8.0,8.17,8.0,8.33,10.0,10.0,10.0,87.17,0.11,Green,Specialty Coffee Association,1300.0
23,Arabica,roberto licona franco,Mexico,la herradura,,xalapa,ROBERTO LICONA FRANCO,AMECAFE,2012,"July 26th, 2012",ROBERTO LICONA FRANCO,Other,Washed / Wet,8.17,8.25,8.17,8.0,7.83,8.17,10.0,10.0,10.0,87.17,0.13,Green,AMECAFE,1320.0
24,Arabica,cqi q coffee sample representative,United States,la curva,coffee quality institute,antioquia,Silvia Elena Higuita,Almacafé,2014,"March 13th, 2015",CQI Q Coffee Sample Representative,Other,Washed / Wet,8.25,8.33,8.17,8.17,7.83,8.17,10.0,10.0,10.0,87.08,0.0,,Almacafé,2112.0
25,Arabica,ji-ae ahn,Ethiopia,,,sidamo,,Specialty Coffee Institute of Asia,2013,"September 3rd, 2013",Ji-Ae Ahn,,Natural / Dry,8.42,8.17,7.92,8.17,8.33,8.0,10.0,10.0,10.0,87.08,0.11,Bluish-Green,Specialty Coffee Institute of Asia,
26,Arabica,nucoffee,Brazil,fazenda kaquend,nucoffee,south of minas,Ralph Junqueira,NUCOFFEE,2011,"December 3rd, 2011",NUCOFFEE,Bourbon,Natural / Dry,8.5,8.5,8.0,8.0,8.0,8.0,10.0,10.0,10.0,86.92,0.12,Green,NUCOFFEE,1250.0
27,Arabica,ethiopia commodity exchange,Ethiopia,,,sidamo,Green Gold Ethiopia | Phone: 0114342032,Ethiopia Commodity Exchange,2009/2010,"June 16th, 2010",Ethiopia Commodity Exchange,,,7.83,8.25,8.08,8.17,8.17,8.17,10.0,10.0,10.0,86.92,0.05,,Ethiopia Commodity Exchange,
28,Arabica,kabum trading company,Uganda,chebonet (23) women coffee,kabum trading company,kapchorwa eastern,Kabum trading company,Uganda Coffee Development Authority,2013,"June 26th, 2014",Kabum Trading company,SL14,Washed / Wet,8.42,8.17,8.17,8.17,7.83,7.92,10.0,10.0,10.0,86.83,0.12,Green,Uganda Coffee Development Authority,1950.0
29,Arabica,bismarck castro,Honduras,los hicaques,cigrah s.a de c.v,comayagua,Reinerio Zepeda,Instituto Hondureño del Café,2016,"May 18th, 2017",Bismarck Castro,Caturra,,8.17,8.08,8.08,8.0,8.08,8.0,10.0,10.0,10.0,86.67,0.1,Green,Instituto Hondureño del Café,1400.0
30,Arabica,"lin, che-hao krude 林哲豪",Taiwan,tsoustructive garden 鄒築園,taiwan coffee laboratory,"leye, alishan township, chiayi county","FANG,ZHENG-LUN 方政倫",Specialty Coffee Association,2015,"May 18th, 2016","Lin, Che-Hao Krude 林哲豪",Sumatra,Pulped natural / honey,8.0,8.0,8.0,8.25,8.0,8.17,10.0,10.0,10.0,86.58,0.0,Green,Specialty Coffee Association,1200.0
31,Arabica,nora zeas,Nicaragua,,,,,Specialty Coffee Association,,"May 18th, 2010",Nora Zeas,,,7.92,8.25,8.0,8.33,8.0,8.08,10.0,10.0,10.0,86.58,0.08,,Specialty Coffee Association,
32,Arabica,specialty coffee-korea,"Tanzania, United Republic Of",,,,,Specialty Coffee Institute of Asia,2012,"September 3rd, 2013",Specialty Coffee-Korea,,Natural / Dry,8.42,8.17,8.17,8.0,7.58,8.0,10.0,10.0,10.0,86.5,0.11,Bluish-Green,Specialty Coffee Institute of Asia,
33,Arabica,nucoffee,Brazil,fazenda recreio,nucoffee,vale da grama,Homero Texeira de Macedo Junior,NUCOFFEE,2011,"December 3rd, 2011",NUCOFFEE,Bourbon,Natural / Dry,8.5,8.17,8.0,7.75,8.0,8.0,10.0,10.0,10.0,86.42,0.12,Green,NUCOFFEE,1300.0
34,Arabica,francisco a mena,Costa Rica,exclusive coffees s.a.,exclusive coffees s.a.,west and central valley,Exclusive Coffees S.A.,Specialty Coffee Association of Costa Rica,2015/2016,"December 3rd, 2015",Francisco A Mena,Caturra,Washed / Wet,8.17,7.83,8.0,8.08,7.83,8.0,10.0,10.0,10.0,86.33,0.0,Blue-Green,Specialty Coffee Association of Costa Rica,1300.0
35,Arabica,hider abamecha,Ethiopia,haider abamecha coffee plantation,haider abamecha coffee export,oromia,Haider Abamecha Abadiko,METAD Agricultural Development plc,2014,"March 27th, 2015",Hider Abamecha,,Natural / Dry,8.0,8.08,7.92,8.0,8.08,8.08,10.0,10.0,10.0,86.25,0.1,Green,METAD Agricultural Development plc,1775.0
36,Arabica,daniel magu,Kenya,kangunu,c dorman ltd,muranga,Kangunu,Kenya Coffee Traders Association,2013,"May 30th, 2014",Daniel Magu,SL34,Washed / Wet,8.08,8.0,8.0,8.25,7.92,7.92,10.0,10.0,10.0,86.25,0.12,Blue-Green,Kenya Coffee Traders Association,1800.0
37,Arabica,kona pacific farmers cooperative,United States (Hawaii),,kona pacific farmers cooperative,kona,,Specialty Coffee Association,2012,"April 6th, 2012",Kona Pacific Farmers Cooperative,Hawaiian Kona,Natural / Dry,8.08,8.17,8.0,7.92,7.92,7.83,10.0,10.0,10.0,86.25,0.0,,Specialty Coffee Association,
38,Arabica,kona pacific farmers cooperative,United States (Hawaii),kona pacific farmers cooperative,,kona,Kona Pacific Farmers Co-Op,Specialty Coffee Association,2010,"January 28th, 2011",Kona Pacific Farmers Cooperative,,,8.25,8.42,8.08,7.75,7.67,7.83,10.0,10.0,10.0,86.25,0.0,,Specialty Coffee Association,
39,Arabica,ethiopia commodity exchange,Ethiopia,"phone number | 0911-51-08-01, email | at",,yirgacheffe,Contact name | ATO Teshome Belamo,Ethiopia Commodity Exchange,2009/2010,"June 17th, 2010",Ethiopia Commodity Exchange,,,7.92,7.75,8.08,8.08,8.08,8.17,10.0,10.0,10.0,86.25,0.1,,Ethiopia Commodity Exchange,
40,Arabica,cqi q coffee sample representative,United States,la primavera,coffee quality institute,antioquia,Hugo Sepúlveda Montoya,Almacafé,2014,"March 13th, 2015",CQI Q Coffee Sample Representative,Other,Washed / Wet,7.67,8.17,8.0,8.0,8.17,8.08,10.0,10.0,10.0,86.17,0.0,,Almacafé,1941.0
41,Arabica,itdp international,Thailand,co-op #12,lanna cafe,chiang rai,ITDP,Specialty Coffee Association,2012,"April 12th, 2012",ITDP International,Caturra,Washed / Wet,7.83,8.33,7.83,8.25,7.58,7.92,10.0,10.0,10.0,86.17,0.1,Green,Specialty Coffee Association,1300.0
42,Arabica,jacques pereira carneiro,Brazil,pereira estate coffee,,sul de minas - carmo de minas,Maria Rogeria Costa Pereira,Specialty Coffee Association,2010,"January 4th, 2011",Jacques Pereira Carneiro,Yellow Bourbon,,8.17,7.92,7.92,7.75,8.33,8.0,10.0,10.0,10.0,86.17,0.08,,Specialty Coffee Association,12.0
43,Arabica,jacques pereira carneiro,Brazil,pereira estate coffee,,sul de minas - carmo de minas,Maria Rogeria Costa Pereira,Specialty Coffee Association,2010,"January 4th, 2011",Jacques Pereira Carneiro,Yellow Bourbon,,8.42,7.92,8.0,7.75,7.92,8.0,10.0,10.0,10.0,86.17,0.01,,Specialty Coffee Association,12.0
44,Arabica,"lin, che-hao krude 林哲豪",Taiwan,sunshine valley estate 向陽高山咖啡,taiwan coffee laboratory,natou county,LIN YEN CHIEN 林言謙,Specialty Coffee Association,2015,"June 10th, 2015","Lin, Che-Hao Krude 林哲豪",Bourbon,Semi-washed / Semi-pulped,8.08,8.17,7.75,8.08,7.75,7.83,10.0,10.0,10.0,86.08,0.12,Green,Specialty Coffee Association,1000.0
45,Arabica,jungle estate,Kenya,jungle estate,keremara limited,nyeri,JUNGLE ESTATE,Kenya Coffee Traders Association,2014,"January 29th, 2015",Jungle Estate,SL28,Natural / Dry,8.08,8.08,8.0,8.0,7.83,8.08,10.0,10.0,10.0,86.08,0.11,Bluish-Green,Kenya Coffee Traders Association,1754.0
46,Arabica,nucoffee,Brazil,fazenda kaquend,nucoffee,south of minas,Ralph Junqueira,NUCOFFEE,2011,"December 3rd, 2011",NUCOFFEE,Bourbon,Semi-washed / Semi-pulped,8.33,8.0,8.0,8.0,7.75,8.0,10.0,10.0,10.0,86.08,0.11,Blue-Green,NUCOFFEE,1250.0
47,Arabica,great lakes coffee uganda,Uganda,kaasayi,ucda,eastern uganda,Kaasay Farmer Group,Uganda Coffee Development Authority,2014,"October 1st, 2014",Great Lakes Coffee Uganda,,Semi-washed / Semi-pulped,8.08,8.08,7.83,7.92,8.08,7.92,10.0,10.0,10.0,86.0,0.0,,Uganda Coffee Development Authority,
48,Arabica,lusso lab,Colombia,ecobio colombia,lusso coffee lab,tolima,,Specialty Coffee Association,2013,"March 20th, 2014",LUSSO LAB,Caturra,Washed / Wet,7.75,7.92,7.83,8.08,8.08,8.17,10.0,10.0,10.0,86.0,0.12,Green,Specialty Coffee Association,1200.0
49,Arabica,lusso lab,Kenya,kianjavi,lusso coffee lab,kiambu,,Specialty Coffee Association,2013,"February 6th, 2014",LUSSO LAB,SL28,Washed / Wet,7.92,8.17,7.83,8.5,7.5,7.92,10.0,10.0,10.0,86.0,0.11,Green,Specialty Coffee Association,1860.0
50,Arabica,afca,Uganda,,kawacom uganda ltd,"sipi, mt elgon",Kawacom,Africa Fine Coffee Association,2012,"February 13th, 2012",AFCA,Other,Washed / Wet,8.25,8.0,7.83,8.08,8.0,7.92,10.0,10.0,10.0,86.0,0.1,Blue-Green,Africa Fine Coffee Association,1650.0
51,Arabica,ethiopia commodity exchange,Ethiopia,contact | sidacoop@ethionet.net,,sidamo,Sidama Coffee Farmers Coop. Union,Ethiopia Commodity Exchange,2009/2010,"June 17th, 2010",Ethiopia Commodity Exchange,,,7.75,8.08,8.0,8.25,8.0,8.0,10.0,10.0,10.0,86.0,0.01,,Ethiopia Commodity Exchange,1750.0
52,Arabica,grounds for health admin,United States (Hawaii),hula daddy kona coffee,,kona,Hula Daddy Kona Coffee,Specialty Coffee Association,Fall 2009,"May 31st, 2010",Grounds for Health Admin,,,8.33,8.17,7.75,8.0,7.75,7.83,10.0,10.0,10.0,86.0,0.0,,Specialty Coffee Association,426.72
53,Arabica,juan luis alvarado romero,Guatemala,la esperanza y anexos,"unex guatemala, s.a.",nuevo oriente,MARGARITA AVILA DE NUYENS,Asociacion Nacional Del Café,2016,"May 16th, 2016",Juan Luis Alvarado Romero,Bourbon,Washed / Wet,7.92,8.08,7.92,8.08,8.08,7.83,10.0,10.0,10.0,85.92,0.1,Green,Asociacion Nacional Del Café,
54,Arabica,kawacom uganda ltd,Uganda,sipi organic coffee project,kawacom uganda ltd,eastern,Kawacom (U)Ltd,Uganda Coffee Development Authority,2013,"June 30th, 2014",Kawacom Uganda LTD,SL14,Natural / Dry,8.17,8.17,7.92,8.08,7.83,7.75,10.0,10.0,10.0,85.92,0.12,Green,Uganda Coffee Development Authority,1650.0
55,Arabica,exportadora de cafe condor s.a,Colombia,,exportadora de cafe condor s.a,huila,,Almacafé,2013,"July 26th, 2013",Exportadora de Cafe Condor S.A,Caturra,Washed / Wet,8.0,8.0,8.0,8.17,7.83,8.0,10.0,10.0,10.0,85.92,0.0,Blue-Green,Almacafé,1800.0
56,Arabica,gonzalo hernandez,Panama,la berlina estate,ce specialty s.a.,boquete,Plinio Ruiz,Specialty Coffee Association of Costa Rica,2017,"October 9th, 2017",Gonzalo Hernandez,Gesha,Washed / Wet,8.0,8.0,7.92,8.08,7.83,8.0,10.0,10.0,10.0,85.83,0.08,Bluish-Green,Specialty Coffee Association of Costa Rica,1600.0
57,Arabica,ibrahim hussien speciality coffee producer &export,Ethiopia,,ibrahim hussien specality coffee product & exporter,oromia,Ibrahim Hussien Specialty Coffee Producer and Exporter,METAD Agricultural Development plc,2014,"April 4th, 2015",Ibrahim Hussien Speciality Coffee Producer &Export,,Washed / Wet,7.83,8.08,7.92,8.08,8.0,7.92,10.0,10.0,10.0,85.83,0.1,Green,METAD Agricultural Development plc,1900.0
58,Arabica,juan luis alvarado romero,Guatemala,valparaiso,sertrasa,acatenango,SERTRASA,Asociacion Nacional Del Café,2012,"July 3rd, 2012",Juan Luis Alvarado Romero,Bourbon,Washed / Wet,7.83,8.0,8.0,8.17,7.83,8.0,10.0,10.0,10.0,85.83,0.12,Green,Asociacion Nacional Del Café,1524.0
59,Arabica,juan luis alvarado romero,Guatemala,finca el limon,unicafe,nuevo oriente,WILLIAM ESTUARDO MARTINEZ PACHECO,Asociacion Nacional Del Café,2012,"June 5th, 2012",Juan Luis Alvarado Romero,Catuai,Washed / Wet,8.0,8.0,7.83,8.33,7.83,7.83,10.0,10.0,10.0,85.83,0.1,Bluish-Green,Asociacion Nacional Del Café,1417.32
60,Arabica,seid damtew coffee planataion,Ethiopia,seid damtew coffee planation,seid damtew coffee planation,addis ababa,seid damtew coffee export and plantation,METAD Agricultural Development plc,2017,"June 23rd, 2017",SEID DAMTEW COFFEE PLANATAION,Caturra,Natural / Dry,7.83,8.0,7.83,8.17,7.92,8.0,10.0,10.0,10.0,85.75,0.09,,METAD Agricultural Development plc,
61,Arabica,dane loraas,Peru,,sustainable harvest,cajamarca,,Specialty Coffee Association,2013,"January 22nd, 2014",Dane Loraas,,Washed / Wet,8.0,8.0,8.0,8.08,7.92,7.75,10.0,10.0,10.0,85.75,0.1,Green,Specialty Coffee Association,
62,Arabica,"colbran coffeelands, ltd.",Papua New Guinea,tairora cherry – bonta,cqi,eastern highlands province,"Colbran CoffeeLands, Ltd.",Specialty Coffee Association,2012,"October 25th, 2012","Colbran Coffeelands, Ltd.",,Washed / Wet,8.33,8.42,7.83,8.33,8.0,8.25,9.33,9.33,10.0,85.75,0.12,Bluish-Green,Specialty Coffee Association,1700.0
63,Arabica,atlantic specialty coffee,El Salvador,el majahual,atlantic specialty coffee,apaneca,Aida Batlle,Specialty Coffee Association,2013,"March 18th, 2013",Atlantic Specialty Coffee,Bourbon,Washed / Wet,7.92,8.17,8.0,7.92,7.75,7.83,10.0,10.0,10.0,85.58,0.1,Blue-Green,Specialty Coffee Association,1500.0
64,Arabica,lusso lab,El Salvador,finca la esmeralda,lusso coffee lab,"ataco, apaneca - ilamatepec mountain range",Oscar Roberto Murgas Linares,Specialty Coffee Association,2012,"January 12th, 2013",LUSSO LAB,Bourbon,Semi-washed / Semi-pulped,7.83,8.0,8.0,7.75,7.92,8.17,10.0,10.0,10.0,85.58,0.11,,Specialty Coffee Association,1350.0
65,Arabica,kona pacific farmers cooperative,United States (Hawaii),,kona pacific farmers cooperative,kona,,Specialty Coffee Association,2012,"April 6th, 2012",Kona Pacific Farmers Cooperative,Hawaiian Kona,Natural / Dry,7.83,8.0,7.92,7.75,8.08,8.0,10.0,10.0,10.0,85.58,0.0,,Specialty Coffee Association,
66,Arabica,essencecoffee,Panama,elida estate,essence coffee,boquete,Lamastus,Blossom Valley International,2014,"May 23rd, 2015",EssenceCoffee,Caturra,Natural / Dry,8.0,7.75,7.83,7.83,7.67,8.58,10.0,10.0,10.0,85.5,0.09,,Blossom Valley International,1680.0
67,Arabica,essencecoffee,Kenya,inoi,essence coffee,kirinyaga,,Blossom Valley International,2014,"May 23rd, 2015",EssenceCoffee,SL28,Natural / Dry,7.92,7.92,7.83,8.08,7.83,7.92,10.0,10.0,10.0,85.5,0.1,Green,Blossom Valley International,1900.0
68,Arabica,assefa belay coffee producer,Ethiopia,,assefa belay coffee producer,oromia,Assefa Belay Coffee Producer,METAD Agricultural Development plc,2015,"March 31st, 2015",Assefa Belay Coffee Producer,Other,Natural / Dry,7.83,8.0,7.83,7.92,7.83,8.08,10.0,10.0,10.0,85.5,0.12,Green,METAD Agricultural Development plc,1900.0
69,Arabica,kyagalanyi ltd,Uganda,buginyanya,kyagalanyi coffee ltd,bulambuli eastern region,Kyagalanyi coffee Ltd,Uganda Coffee Development Authority,2013,"June 26th, 2014",Kyagalanyi Ltd,SL14,Washed / Wet,8.33,7.92,7.67,7.92,7.67,7.92,10.0,10.0,10.0,85.5,0.12,Green,Uganda Coffee Development Authority,1600.0
70,Arabica,juan luis alvarado romero,Guatemala,asoperc,exportcafe,huehuetenango,ASOCIACION DE PERMACULTORES DE CUILCO (SANTOS LOPEZ MEJIA),Asociacion Nacional Del Café,2013,"February 26th, 2013",Juan Luis Alvarado Romero,Bourbon,Washed / Wet,8.0,7.83,7.67,8.33,7.83,8.0,10.0,10.0,10.0,85.5,0.11,Green,Asociacion Nacional Del Café,1731.264
71,Arabica,assefa belay coffee producer,Ethiopia,,assefa belay coffee producer,oromia,Assefa Belay Coffee Producer,METAD Agricultural Development plc,2015,"March 31st, 2015",Assefa Belay Coffee Producer,,Washed / Wet,7.75,7.83,7.83,8.17,7.92,7.83,10.0,10.0,10.0,85.42,0.1,Green,METAD Agricultural Development plc,1900.0
72,Arabica,great lakes coffee uganda,Uganda,chesiyo farmer group,great lakes coffee,kapchorwa,Chesiyo Farmer group,Uganda Coffee Development Authority,2013,"June 26th, 2014",Great Lakes Coffee Uganda,SL14,Washed / Wet,8.08,8.0,7.83,7.67,8.0,7.83,10.0,10.0,10.0,85.42,0.12,Green,Uganda Coffee Development Authority,1950.0
73,Arabica,kona pacific farmers cooperative,United States (Hawaii),,kona pacific farmers cooperative,kona,,Specialty Coffee Association,2012,"April 6th, 2012",Kona Pacific Farmers Cooperative,Hawaiian Kona,Natural / Dry,7.92,7.92,7.75,7.92,7.75,7.92,10.0,10.0,10.0,85.42,0.0,,Specialty Coffee Association,
74,Arabica,nucoffee,Brazil,fazenda serra de três barras,nucoffee,south of minas,José Vagner Ribeiro Junqueira,NUCOFFEE,2011,"December 3rd, 2011",NUCOFFEE,Bourbon,Semi-washed / Semi-pulped,8.0,8.0,8.0,7.67,7.75,8.0,10.0,10.0,10.0,85.42,0.11,Blue-Green,NUCOFFEE,1250.0
75,Arabica,grounds for health admin,El Salvador,sierra nevada,,apaneca,J. Hill y Cia SA de CV,Specialty Coffee Association,2009 / 2010,"May 31st, 2010",Grounds for Health Admin,,,8.08,7.83,7.83,8.08,7.83,7.83,10.0,10.0,10.0,85.42,0.01,,Specialty Coffee Association,1400.0
76,Arabica,yunnan coffee exchange,China,pu'er city longke coffee co.ltd,yunnan coffee exchange,yunnan,Pu'er City Longke Coffee Co.Ltd,Yunnan Coffee Exchange,2015,"April 6th, 2016",Yunnan Coffee Exchange,Catimor,Natural / Dry,8.0,8.0,8.0,7.83,7.83,7.75,10.0,10.0,10.0,85.33,0.1,Green,Yunnan Coffee Exchange,1700.0
77,Arabica,essencecoffee,Guatemala,el injerto s.a.,essence coffee,huehuetenango,Arturo Aguirre,Blossom Valley International,2014,"May 23rd, 2015",EssenceCoffee,Pacamara,Natural / Dry,7.83,7.75,7.83,7.67,7.83,8.58,10.0,10.0,10.0,85.33,0.11,Green,Blossom Valley International,1770.0
78,Arabica,the coffee source inc.,Costa Rica,several,the coffee source inc.,west valley,Cafe Altura de San Ramon,Specialty Coffee Association,2014,"May 1st, 2014",The Coffee Source Inc.,Caturra,Washed / Wet,7.92,8.08,8.0,7.92,8.0,8.08,10.0,10.0,9.33,85.33,0.0,Bluish-Green,Specialty Coffee Association,1300.0
79,Arabica,the coffee source inc.,Costa Rica,several,the coffee source inc.,san ramon,SEVERAL,Specialty Coffee Association,2014,"May 1st, 2014",The Coffee Source Inc.,Caturra,Washed / Wet,8.0,7.58,7.58,7.67,8.08,8.5,10.0,10.0,10.0,85.33,0.1,Bluish-Green,Specialty Coffee Association,1300.0
80,Arabica,rashid moledina & co. (msa) ltd.,Kenya,,rashid moledina & co. (msa) ltd,central kenya,Kianjogu - Rutuma F.C.S. Ltd.,Kenya Coffee Traders Association,2012,"April 19th, 2013",RASHID MOLEDINA & CO. (MSA) LTD.,SL34,Washed / Wet,7.83,8.08,7.75,8.08,7.92,7.75,10.0,10.0,10.0,85.33,0.0,Green,Kenya Coffee Traders Association,1600.0
81,Arabica,ibero kenya limited,Kenya,,ibero kenya limited,central kenya,Blend from various Producers,Kenya Coffee Traders Association,2012,"March 12th, 2013",Ibero Kenya Limited,SL34,Washed / Wet,8.0,7.92,7.92,8.08,7.83,7.75,10.0,10.0,10.0,85.33,0.0,Green,Kenya Coffee Traders Association,1200.0
